IN_COD,IN_pH,IN_SS,IN_NH,IN_TP,IN_TN,N-O-E_ORP,N-O-E_MLSS,N-O-E_DO,N_PO4,N-A_NH,N-O_NO,S-O-E_ORP,S-O-E_MLSS,S-O-E_DO,S_PO4,S-A_NH,S-O_NO,EF_COD,EF_SS,EF_NH,EF_TP,EF_TN,1#TMP,2#TMP,3#TMP,4#TMP,5#TMP,6#TMP,7#TMP,8#TMP,9#TMP,turbidity,date
123,7.14,237.46,44.83,4.55,48.95,6947.96,245.61,6632.08,0.22,0.53,5.98,7066.99,257.44,7155.5,0.23,0.13,12.32,7.9,0.78,0.02,0.11,7.76,1.63,0.29,31.32,32.95,0.08,30.45,31.52,0.18,27.51,0.28,2021/11/1 0:00
126,7.04,171.45,44.83,4.55,48.95,6964.75,396.76,6833.51,1.05,0.43,9.05,7135.66,396.38,7161.61,1.255,0.13,13.91,10.8,0.66,0.02,0.12,7.84,1.14,0.42,30.55,32.02,30.47,30.89,31.59,0.12,27.34,0.29,2021/11/1 1:00
126,7,199.28,44.83,4.59,49.75,6923.55,396.08,6787.73,1.685,0.42,8.12,7059.36,404.01,7179.92,2.28,0.36,14.64,10.8,0.72,0.03,0.12,7.84,29.37,27.98,1.33,33.33,30.74,31.16,26.05,0.15,0.94,0.28,2021/11/1 2:00
121,6.99,158.7,46.33,4.59,49.75,7066.99,402.56,6856.4,1.9575,0.42,9.24,7060.89,405.54,7153.98,2.33,0.24,15.12,10.8,0.75,0.03,0.13,7.84,30,0.41,30.98,32.74,30.35,1.42,31.93,0.18,27.57,0.28,2021/11/1 3:00
121,7,228.35,46.33,4.51,49.07,6978.48,406,6723.64,2.03875,0.41,11.75,7039.52,408.475,7117.35,2.48,0.2,15.18,10.8,0.79,0.02,0.13,7.84,30.25,0.27,30.78,33.03,28.14,30.46,31.71,0.13,27.67,0.29,2021/11/1 4:00
127,7.01,224.01,46.33,4.51,49.07,7038,405.08,6932.7,2.154375,0.43,10.26,7038,411.6625,7147.87,2.38,0.16,15.48,7.6,0.73,0.02,0.14,7.62,30.19,0.39,30.97,32.73,30.47,31.1,31.98,0.17,27.68,0.29,2021/11/1 5:00
127,7.01,232.36,46.82,4.45,48.19,6937.28,408.74,6799.94,2.2821875,0.45,14.02,7066.99,414.28625,7144.82,2.39,0.08,15.46,7.6,0.77,0.02,0.14,7.62,30.36,0.48,27.31,1.23,31.03,30.87,31.7,0.03,26.98,0.28,2021/11/1 6:00
137,7.06,260.73,46.82,4.45,48.19,7076.15,411.72,6848.77,2.39609375,0,11.39,7102.09,417.083125,7140.24,2.4,0.05,15.67,10.3,0.84,0.02,0.15,7.53,0.96,0.39,30.23,1.24,30.56,31.48,1.41,0,1.42,0.3,2021/11/1 7:00
137,7.03,222.31,46.82,4.5,48.92,6831.99,415,6732.79,2.423046875,0.41,14.61,7121.93,419.1315625,7138.72,2.545,0.025,15.48,10.3,0.71,0.02,0.15,7.53,0.91,0.37,0.39,33.72,31.03,31.56,0.96,0.06,28.05,0.29,2021/11/1 8:00
143,7.01,205.77,46.84,4.5,48.92,7079.2,418.74,6740.42,2.476523438,0.39,15.19,7024.26,421.3757813,7158.55,2.6475,0.1575,15.63,9.4,0.74,0.02,0.14,7.43,1.11,0.37,31.69,33.7,2.32,1.15,32.69,0.16,27.95,0.29,2021/11/1 9:00
143,6.99,189.61,46.84,4.49,49.57,6973.9,420.72,6734.32,2.498261719,0.37,17.65,7115.82,424.5578906,7118.88,2.76875,0.29,15.6,9.4,0.77,0.01,0.14,7.43,1.03,0.35,30.99,33.28,30.78,31.14,32.21,0.05,2.19,0.28,2021/11/1 10:00
